CUSTOMER_CODE,INVOICE_CODE,AMOUNT,DATE
CUST0000011768,IN00080624,226.81,13-02-2011
CUST0000052056,IN00043797,223.58,26-02-2015
CUST0000038148,IN00012740,187.67,17-02-2011
CUST0000003515,IN00065369,371.87,05-10-2012
CUST0000085123,IN00031775,510.44,21-09-2018
CUST0000037104,IN00016547,139.8,30-12-2015
CUST0000009433,IN00077590,944.97,30-10-2013
CUST0000077168,IN00091033,98.76,03-02-2012
CUST0000061658,IN00021156,539.54,18-10-2020
CUST0000095653,IN00032361,553.83,07-07-2011
CUST0000021118,IN00043700,452.79,30-04-2013
CUST0000011355,IN00034786,198.13,19-02-2015
CUST0000066541,IN00052859,451.97,08-01-2012
CUST0000081680,IN00087398,711.82,04-11-2015
CUST0000005718,IN00097104,211.12,26-04-2020
CUST0000035678,IN00097594,542.35,08-05-2019
CUST0000012065,IN00040129,170.61,12-06-2018
CUST0000032436,IN00076407,718.08,19-03-2011
CUST0000072176,IN00045355,7.29,21-05-2011
CUST0000045740,IN00095648,139.08,17-01-2019
CUST0000007998,IN00053953,255.43,18-03-2018
CUST0000046456,IN00073262,322.89,20-01-2014
CUST0000014086,IN00057041,16.21,13-12-2014
CUST0000075162,IN00090567,129.92,05-06-2021
CUST0000037065,IN00023911,450.13,29-07-2016
CUST0000092429,IN00053410,474.09,28-08-2019
CUST0000059851,IN00015243,597.42,24-11-2021
CUST0000016906,IN00008010,6,07-10-2014
CUST0000038508,IN00035331,330.4,12-03-2012
CUST0000018098,IN00033292,601.13,25-05-2018
CUST0000089285,IN00067811,414.13,23-12-2014
CUST0000069095,IN00081312,793.25,08-07-2019
CUST0000099431,IN00035830,456.14,18-09-2014
CUST0000079306,IN00046499,527.36,07-06-2020
CUST0000096977,IN00092616,296.04,17-02-2011
CUST0000055453,IN00017170,587.13,10-06-2020
CUST0000065718,IN00034639,971.24,05-11-2020
CUST0000029551,IN00068114,581.31,05-12-2014
CUST0000036629,IN00079519,748.37,23-07-2011
CUST0000065374,IN00094717,309.13,19-09-2019
CUST0000016790,IN00054561,851.88,06-10-2013
CUST0000031198,IN00084835,497.6,16-07-2015
CUST0000032509,IN00090665,505.91,23-07-2017
CUST0000065577,IN00047604,641.83,05-10-2016
CUST0000059148,IN00003692,441.78,06-01-2016
CUST0000096778,IN00010704,434.62,14-03-2011
CUST0000063046,IN00064350,231.37,29-07-2011
CUST0000071019,IN00031204,15.07,07-05-2019
CUST0000045181,IN00079490,920.38,20-04-2012
CUST0000096928,IN00096850,498.3,11-01-2013
CUST0000058145,IN00076723,285.8,12-06-2014
CUST0000037695,IN00094332,633.22,18-05-2012
CUST0000096032,IN00033093,625.6,27-04-2020
CUST0000050382,IN00069715,704.74,01-12-2012
CUST0000087316,IN00097963,324.13,17-03-2018
CUST0000050482,IN00089765,737.07,15-02-2019
CUST0000067331,IN00091070,121.32,21-05-2017
CUST0000003875,IN00022437,52.6,26-08-2012
CUST0000009347,IN00087424,879.86,17-02-2016
CUST0000079304,IN00086681,752.41,10-12-2015
CUST0000010618,IN00093762,496.35,11-10-2011
CUST0000014324,IN00030942,189.62,18-06-2016
CUST0000099213,IN00009197,470.3,12-10-2011
CUST0000063045,IN00041518,408.64,27-04-2015
CUST0000002594,IN00086900,28.95,23-10-2015
CUST0000032027,IN00011017,101.9,24-02-2019
CUST0000087719,IN00071141,118.48,13-02-2015
CUST0000009092,IN00048709,908.86,15-03-2021
CUST0000011140,IN00060296,386.72,28-04-2020
CUST0000041496,IN00078715,894.26,29-09-2019
CUST0000045781,IN00076130,400.55,08-12-2012
CUST0000061514,IN00046855,283.51,14-01-2013
CUST0000065088,IN00093314,388,02-08-2013
CUST0000050182,IN00033469,873.44,16-05-2015
CUST0000093237,IN00043574,716.63,27-11-2021
CUST0000070618,IN00053604,199.08,22-02-2017
CUST0000048814,IN00063514,466.9,01-01-2021
CUST0000064154,IN00025117,966.38,30-07-2012
CUST0000041005,IN00033573,509.03,22-04-2015
CUST0000089889,IN00091839,866.64,07-09-2018
CUST0000004659,IN00029821,454.57,12-03-2018
CUST0000005540,IN00024409,194.47,12-06-2016
CUST0000054335,IN00077723,737.16,16-06-2012
CUST0000068530,IN00043237,217.22,14-04-2013
CUST0000098576,IN00071418,933.44,30-07-2014
CUST0000069831,IN00092421,183.13,22-06-2021
CUST0000062446,IN00095018,347.03,08-06-2017
CUST0000065332,IN00089920,61,22-05-2016
CUST0000076587,IN00024108,802.38,05-05-2020
CUST0000018755,IN00061186,133.23,01-01-2011
CUST0000093036,IN00066942,316.91,05-06-2017
CUST0000079515,IN00035525,238.41,07-12-2021
CUST0000036933,IN00005683,968.33,19-11-2019
CUST0000056814,IN00050783,99.43,20-10-2011
CUST0000007393,IN00099374,711.27,22-07-2011
CUST0000026740,IN00062910,747.25,25-07-2012
CUST0000058156,IN00095950,270.83,10-02-2011
CUST0000054829,IN00010542,777.13,28-09-2016
CUST0000042247,IN00016058,98.64,15-07-2019
CUST0000091244,IN00099256,856.28,18-10-2014
CUST0000043811,IN00081616,321.93,05-01-2011
CUST0000001541,IN00037277,819.73,01-12-2014
CUST0000011053,IN00074685,927.34,22-07-2012
CUST0000096149,IN00079349,39.66,07-05-2021
CUST0000068381,IN00089352,367.37,23-05-2011
CUST0000002660,IN00013469,326.8,13-03-2013
CUST0000091892,IN00014740,550.95,30-07-2013
CUST0000095853,IN00047799,171.27,20-06-2012
CUST0000014034,IN00055693,40.83,02-04-2017
CUST0000063844,IN00034752,725.95,30-04-2011
CUST0000094936,IN00032865,21.2,07-08-2018
CUST0000050630,IN00036488,416.9,25-10-2014
CUST0000098761,IN00083707,947.65,14-05-2017
CUST0000077568,IN00075824,659.92,29-01-2017
CUST0000074153,IN00030398,104.32,30-01-2016
CUST0000023246,IN00033124,200.35,15-02-2014
CUST0000071926,IN00005320,814.9,02-10-2013
CUST0000043588,IN00060689,384.19,19-07-2016
CUST0000088598,IN00046009,423.98,02-04-2020
CUST0000098688,IN00074645,400.14,20-05-2017
CUST0000075344,IN00005849,939.11,12-02-2019
CUST0000079072,IN00051774,826.94,10-10-2017
CUST0000077177,IN00092093,893.15,21-02-2011
CUST0000000899,IN00017678,20.63,30-06-2011
CUST0000098834,IN00041558,22.16,15-11-2015
CUST0000050456,IN00095103,752.03,15-12-2021
CUST0000046437,IN00064967,321.61,17-05-2020
CUST0000090059,IN00097136,277.59,14-05-2012
CUST0000034260,IN00093149,954.17,25-05-2014
CUST0000038712,IN00098360,147.61,12-12-2019
CUST0000048012,IN00025871,191.02,23-10-2014
CUST0000031622,IN00004392,805.06,10-08-2014
CUST0000029900,IN00080769,628.05,22-08-2015
CUST0000054148,IN00075893,960.04,07-09-2021
CUST0000095424,IN00058156,932.39,24-04-2020
CUST0000080052,IN00098620,251.33,12-02-2013
CUST0000008809,IN00038740,806.61,20-06-2011
CUST0000076385,IN00034935,468.15,29-06-2012
CUST0000094881,IN00085646,950.72,28-07-2013
CUST0000013802,IN00001735,793.49,27-09-2017
CUST0000017521,IN00019742,156.42,12-08-2020
CUST0000074010,IN00051595,664.94,28-01-2017
CUST0000014010,IN00000934,992.64,11-08-2021
CUST0000099757,IN00059063,676.65,03-05-2014
CUST0000030903,IN00007656,224.7,01-10-2015
CUST0000070656,IN00065827,353.59,07-01-2012
CUST0000003782,IN00010750,182.77,05-01-2021
CUST0000054103,IN00020672,868.7,09-09-2017
CUST0000050018,IN00028490,828.25,11-02-2018
CUST0000022407,IN00068479,370.79,16-10-2011
CUST0000097517,IN00072828,65.92,18-02-2020
CUST0000048386,IN00056475,276.53,05-11-2018
CUST0000099013,IN00049953,35.99,22-03-2011
CUST0000043283,IN00048814,549.39,05-08-2017
CUST0000042473,IN00007093,311.47,02-01-2012
CUST0000086805,IN00071842,177.52,13-12-2014
CUST0000028706,IN00003674,614.68,03-04-2020
CUST0000006847,IN00096462,572.46,30-09-2020
CUST0000019095,IN00090559,624.42,18-08-2021
CUST0000088256,IN00000199,170.39,15-08-2019
CUST0000087365,IN00091032,105.32,24-05-2012
CUST0000056664,IN00043066,537.75,25-11-2016
CUST0000039574,IN00066281,648.61,18-03-2020
CUST0000074750,IN00097081,354.18,16-03-2020
CUST0000060864,IN00061292,161.09,27-11-2013
CUST0000065380,IN00079121,513.96,05-04-2016
CUST0000064557,IN00081692,282.53,10-10-2017
CUST0000001438,IN00050812,718.18,01-05-2011
CUST0000035741,IN00086183,643.61,04-10-2021
CUST0000008453,IN00013808,256.13,30-09-2021
CUST0000047412,IN00038978,695.23,27-07-2012
CUST0000067772,IN00052849,142.81,29-03-2018
CUST0000090411,IN00041958,625.26,30-11-2016
CUST0000020646,IN00039754,337.96,28-05-2021
CUST0000070205,IN00096888,91.3,04-09-2021
CUST0000058736,IN00025447,478.96,22-12-2011
CUST0000082486,IN00094342,370.31,17-01-2017
CUST0000041147,IN00027217,817.3,20-02-2018
CUST0000013738,IN00086818,328.56,21-04-2017
CUST0000026750,IN00020590,926.91,14-02-2019
CUST0000055174,IN00064514,401.05,24-02-2017
CUST0000041116,IN00026106,284.51,20-01-2016
CUST0000046108,IN00020993,889.08,09-01-2015
CUST0000053358,IN00060261,424.97,27-03-2012
CUST0000024599,IN00063457,96.27,06-07-2019
CUST0000086757,IN00032685,924.07,19-05-2014
CUST0000046700,IN00046816,997.48,14-02-2014
CUST0000097675,IN00015934,135.81,24-02-2019
CUST0000054819,IN00032253,377.31,16-01-2020
CUST0000026502,IN00026342,775.46,10-12-2019
CUST0000020810,IN00061443,247.59,29-10-2015
CUST0000079489,IN00007361,289.35,15-08-2021
CUST0000063436,IN00045734,133.73,21-04-2015
CUST0000079571,IN00045425,199.81,26-06-2015
CUST0000019457,IN00000594,447.37,30-11-2015
CUST0000002135,IN00062544,510.97,21-10-2013
CUST0000022988,IN00024576,935.38,31-08-2021
CUST0000059670,IN00001572,948.18,12-04-2017
CUST0000084870,IN00089615,569.95,15-11-2020
CUST0000098501,IN00045676,417.54,30-10-2017
CUST0000065898,IN00077204,977.69,30-06-2016
CUST0000014487,IN00033231,467.91,20-07-2019
CUST0000093321,IN00018644,646.26,25-02-2015
CUST0000090806,IN00098403,43.54,09-05-2013
CUST0000035318,IN00044678,791.31,04-08-2014
CUST0000071482,IN00021115,689.82,08-10-2012
CUST0000002554,IN00023614,289.68,27-10-2014
CUST0000069412,IN00054100,883.7,01-04-2016
CUST0000033127,IN00055388,868.51,29-10-2012
CUST0000067304,IN00089042,552.37,29-05-2020
CUST0000078570,IN00047142,4.76,19-04-2013
CUST0000000279,IN00050687,543.1,04-11-2015
CUST0000010132,IN00067743,181.79,09-08-2017
CUST0000075497,IN00047241,91.77,09-12-2018
CUST0000063373,IN00051178,854.88,23-11-2011
CUST0000030782,IN00093827,141.6,21-03-2018
CUST0000098611,IN00093119,545.67,16-08-2021
CUST0000072303,IN00024251,785.48,19-05-2015
CUST0000021458,IN00066424,809.72,27-03-2011
CUST0000060138,IN00092622,164.27,26-01-2013
CUST0000067515,IN00072282,815.95,29-07-2020
CUST0000025232,IN00051818,939.29,17-02-2020
CUST0000098956,IN00047876,710.66,14-10-2021
CUST0000045503,IN00039273,108.28,24-05-2016
CUST0000057948,IN00049934,784.07,20-04-2016
CUST0000091398,IN00062192,194.1,26-12-2016
CUST0000093146,IN00008661,967.41,09-05-2019
CUST0000059815,IN00008271,617.61,14-06-2020
CUST0000033279,IN00032494,654.97,28-05-2013
CUST0000058331,IN00060849,722.9,04-05-2019
CUST0000009047,IN00090807,828.54,02-03-2019
CUST0000008915,IN00039190,137.94,21-12-2014
CUST0000024775,IN00070142,250.05,12-01-2021
CUST0000000354,IN00056630,444.95,15-05-2014
CUST0000002800,IN00083962,899.86,06-11-2012
CUST0000056926,IN00032336,141.94,22-06-2013
CUST0000072043,IN00092417,891.62,26-09-2013
CUST0000007125,IN00003074,874.44,09-06-2011
CUST0000093702,IN00024292,988.28,05-08-2017
CUST0000021382,IN00011374,526.13,13-03-2011
CUST0000043752,IN00086855,660.57,27-10-2019
CUST0000013517,IN00027301,315.21,26-01-2016
CUST0000095124,IN00046077,175.18,21-10-2017
CUST0000006690,IN00039298,609.78,20-07-2021
CUST0000033954,IN00023772,743.97,16-12-2014
CUST0000066073,IN00072318,334.54,17-09-2021
CUST0000003365,IN00096985,21.31,09-08-2020
CUST0000081173,IN00024564,871.51,31-08-2021
CUST0000099056,IN00082870,597.61,14-08-2013
CUST0000052431,IN00093028,757.24,01-12-2021
CUST0000034092,IN00093731,489.48,30-05-2021
CUST0000051656,IN00046055,49.78,26-01-2015
CUST0000032771,IN00055114,774.42,30-05-2012
CUST0000077857,IN00063140,500.17,29-07-2018
CUST0000044146,IN00047898,537.94,16-10-2017
CUST0000018134,IN00097911,792.76,31-03-2013
CUST0000039654,IN00068431,321.23,06-11-2019
CUST0000089179,IN00046654,391.14,04-03-2012
CUST0000061431,IN00090231,767.6,21-12-2016
CUST0000092241,IN00089094,262.64,25-03-2013
CUST0000038300,IN00052405,400.62,17-10-2011
CUST0000081758,IN00017547,368.89,03-10-2020
CUST0000042592,IN00074515,824.25,22-03-2020
CUST0000055253,IN00034682,447.8,17-01-2013
CUST0000085423,IN00009679,31.68,21-06-2017
CUST0000000414,IN00048365,908.88,23-11-2021
CUST0000006139,IN00088166,143.86,24-01-2012
CUST0000080520,IN00099867,448.08,20-10-2014
CUST0000040465,IN00011548,46.2,14-08-2012
CUST0000085051,IN00028445,634.01,01-02-2018
CUST0000055570,IN00039986,534.82,06-07-2021
CUST0000068541,IN00012011,758.91,02-01-2012
CUST0000032616,IN00049261,515.03,31-01-2015
CUST0000044366,IN00039855,23.29,12-06-2019
CUST0000081544,IN00016177,345.21,28-12-2021
CUST0000005122,IN00064101,1000.83,15-05-2012
CUST0000071919,IN00066515,910.88,08-10-2019
CUST0000032281,IN00002769,932.55,07-08-2019
CUST0000097198,IN00075383,777.31,23-12-2015
CUST0000044722,IN00053499,668.36,29-10-2021
CUST0000017678,IN00049617,218.64,02-06-2014
CUST0000008492,IN00088929,1000.54,11-08-2020
CUST0000060856,IN00056934,614.45,18-11-2017
CUST0000036319,IN00005507,258.3,14-05-2013
CUST0000039545,IN00029027,864.2,05-02-2012
CUST0000031894,IN00091579,488.6,23-08-2014
CUST0000051864,IN00077679,652.25,30-08-2012
CUST0000072578,IN00023159,550.69,01-09-2013
CUST0000015312,IN00029825,4.52,20-11-2015
CUST0000021309,IN00025062,448.23,18-02-2020
CUST0000001025,IN00099589,401.21,14-08-2013
CUST0000018259,IN00078048,834.53,01-08-2017
CUST0000083537,IN00030863,311.92,29-01-2018
CUST0000058751,IN00053592,323.74,02-05-2013
CUST0000082039,IN00082457,981.73,20-12-2018
CUST0000047746,IN00034804,941.09,17-10-2013
CUST0000099814,IN00003890,330.19,26-03-2020
CUST0000008258,IN00071931,343.69,30-09-2017
CUST0000038269,IN00049938,561.66,06-12-2013
CUST0000031097,IN00064374,908.07,01-07-2016
CUST0000028459,IN00097818,912.96,12-12-2016
CUST0000093598,IN00063465,941.62,07-05-2018
CUST0000089846,IN00054180,14.99,05-02-2017
CUST0000032246,IN00050144,755.23,16-07-2020
CUST0000014975,IN00087094,851.2,13-10-2013
CUST0000005348,IN00065802,438.44,24-02-2014
CUST0000073318,IN00040270,949.31,10-05-2021
CUST0000087245,IN00080017,780.42,03-12-2015
CUST0000036932,IN00020478,847.2,31-08-2017
CUST0000006938,IN00074265,260.87,30-09-2015
CUST0000091900,IN00015316,604.63,28-02-2012
CUST0000093516,IN00017717,777.41,16-08-2013
CUST0000086607,IN00046787,38.52,15-09-2021
CUST0000023971,IN00035570,2.34,07-12-2013
CUST0000088800,IN00063540,295.68,05-12-2018
CUST0000046376,IN00027766,520.64,11-04-2014
CUST0000026082,IN00052807,191.65,15-01-2020
CUST0000011051,IN00006174,207.08,21-07-2011
CUST0000056844,IN00078086,597.88,28-03-2017
CUST0000030311,IN00063359,429.89,11-09-2013
CUST0000052433,IN00099171,163.1,31-01-2016
CUST0000000782,IN00040795,749.52,01-05-2012
CUST0000032962,IN00072044,316.56,12-02-2021
CUST0000004878,IN00021190,688.64,30-10-2016
CUST0000030202,IN00047940,290.5,19-06-2017
CUST0000042488,IN00006214,693.28,14-09-2018
CUST0000047944,IN00065556,756,30-10-2012
CUST0000025121,IN00083747,4.37,09-12-2018
CUST0000034828,IN00079830,438.63,17-06-2019
CUST0000093814,IN00010266,548.15,11-02-2012
CUST0000088594,IN00057156,856.03,20-07-2014
CUST0000029346,IN00031605,582.23,30-11-2013
CUST0000035071,IN00063170,780.88,14-02-2021
CUST0000038560,IN00079958,530.14,27-06-2011
CUST0000041454,IN00045055,123.91,27-09-2019
CUST0000009260,IN00051648,403.27,12-08-2015
CUST0000013638,IN00082170,752.81,19-06-2018
CUST0000012833,IN00078165,853.99,31-12-2021
CUST0000092531,IN00010413,243.24,16-10-2017
CUST0000009596,IN00037480,568.25,05-02-2021
CUST0000069160,IN00013812,340.47,14-05-2013
CUST0000065106,IN00008889,962.04,26-10-2014
CUST0000044717,IN00077652,53.31,21-10-2011
CUST0000050831,IN00041416,45.29,23-07-2015
CUST0000037629,IN00048023,614.14,17-11-2021
CUST0000031222,IN00092605,170.86,01-09-2015
CUST0000049690,IN00050694,424.1,18-01-2014
CUST0000087152,IN00056947,475.78,06-11-2018
CUST0000076798,IN00006982,748.06,18-07-2012
CUST0000054471,IN00082331,828.42,15-10-2011
CUST0000080526,IN00003314,178.83,01-04-2011
CUST0000087240,IN00077434,445.75,04-10-2019
CUST0000032563,IN00048333,49.25,01-09-2018
CUST0000092495,IN00041271,2.46,08-01-2016
CUST0000032178,IN00098947,825,04-12-2020
CUST0000023831,IN00014988,438.27,28-12-2012
CUST0000011523,IN00026508,778.48,27-10-2014
CUST0000057999,IN00034857,632.89,23-10-2017
CUST0000081075,IN00002110,924.17,03-11-2021
CUST0000093521,IN00086625,888.99,12-02-2019
CUST0000026899,IN00023930,150.26,13-12-2019
CUST0000071808,IN00031048,245.12,01-06-2021
CUST0000090589,IN00090471,844.43,06-12-2015
CUST0000091452,IN00034506,531.43,04-08-2015
CUST0000006288,IN00091003,238.25,01-03-2015
CUST0000070280,IN00033595,716.42,18-09-2014
CUST0000071087,IN00082153,725.77,21-10-2017
CUST0000044807,IN00074240,566.27,19-05-2016
CUST0000085122,IN00064745,394.46,19-04-2015
CUST0000020532,IN00053980,100.83,12-03-2018
CUST0000052625,IN00059313,655.92,22-03-2018
CUST0000076665,IN00062880,135.73,29-03-2013
CUST0000083157,IN00025553,388.67,19-02-2020
CUST0000068252,IN00094935,652.51,21-12-2014
CUST0000081921,IN00058787,377.92,14-11-2019
CUST0000025762,IN00073416,32.75,26-04-2020
CUST0000074576,IN00018183,738.93,17-08-2019
CUST0000018903,IN00074818,546.5,14-03-2011
CUST0000010931,IN00060624,438.19,30-05-2018
CUST0000000112,IN00049553,304.63,16-06-2016
CUST0000080379,IN00063147,371.14,12-07-2012
CUST0000047385,IN00002833,486.28,26-10-2016
CUST0000092134,IN00008582,818.86,07-05-2015
CUST0000047974,IN00064323,535.05,06-08-2020
CUST0000008035,IN00080880,61.93,30-01-2012
CUST0000071465,IN00091376,765.86,09-05-2021
CUST0000039284,IN00075878,2.57,13-05-2021
CUST0000076828,IN00075198,843.98,17-03-2020
CUST0000061886,IN00071707,847.33,13-03-2011
CUST0000053324,IN00051006,677.82,21-03-2021
CUST0000082387,IN00017361,848.54,28-01-2017
CUST0000047131,IN00093099,227.34,04-02-2017
CUST0000020617,IN00036661,965.07,24-06-2014
CUST0000079705,IN00083791,482.28,02-01-2018
CUST0000011825,IN00056359,411.33,17-11-2012
CUST0000087672,IN00088910,732.76,17-04-2016
CUST0000046799,IN00089586,88.62,26-05-2021
CUST0000036427,IN00054569,750.05,21-04-2012
CUST0000018551,IN00082915,325.17,01-03-2017
CUST0000011021,IN00009641,488.94,24-07-2011
CUST0000018803,IN00066439,948.97,29-10-2020
CUST0000030887,IN00036898,692.5,26-06-2021
CUST0000053495,IN00062570,82.17,17-08-2011
CUST0000045856,IN00076989,443.53,17-12-2015
CUST0000071903,IN00023162,403.65,16-09-2013
CUST0000044987,IN00031812,817.86,21-09-2021
CUST0000042313,IN00026404,679.36,12-07-2019
CUST0000025921,IN00009040,964.23,04-06-2014
CUST0000057882,IN00038267,594.07,12-06-2017
CUST0000038765,IN00056371,594.49,17-06-2014
CUST0000072823,IN00042577,346.12,13-10-2021
CUST0000032262,IN00027036,632.26,22-01-2019
CUST0000083046,IN00032380,840.08,30-12-2017
CUST0000085620,IN00066251,746.81,27-12-2021
CUST0000021012,IN00088694,246.32,27-09-2015
CUST0000043306,IN00026119,781.89,14-01-2013
CUST0000051787,IN00025719,397.07,25-11-2014
CUST0000062772,IN00023661,376.93,05-11-2017
CUST0000049735,IN00011841,549.54,26-10-2018
CUST0000056465,IN00004618,901.78,14-12-2012
CUST0000086796,IN00005334,965.41,16-05-2015
CUST0000068485,IN00026505,770.89,23-03-2017
CUST0000011586,IN00044900,349.35,24-09-2017
CUST0000008807,IN00032614,476.87,17-04-2015
CUST0000078575,IN00045385,285.06,07-09-2014
CUST0000046886,IN00034099,245.44,25-10-2014
CUST0000097414,IN00089334,913.37,01-09-2013
CUST0000055588,IN00010606,857.29,02-12-2012
CUST0000082259,IN00099966,965.22,18-12-2016
CUST0000005814,IN00066197,741.74,26-12-2017
CUST0000079367,IN00009582,593.62,13-08-2011
CUST0000061550,IN00035139,122.88,07-10-2021
CUST0000015435,IN00086813,892.65,09-07-2017
CUST0000029079,IN00012509,476.29,18-04-2014
CUST0000035703,IN00036304,268.42,10-11-2019
CUST0000063894,IN00002479,922.92,12-01-2017
CUST0000032986,IN00025782,563.06,26-01-2017
CUST0000062275,IN00032816,319.45,07-01-2020
CUST0000041760,IN00015719,584.32,22-11-2014
CUST0000065805,IN00048554,418.01,09-12-2015
CUST0000028913,IN00056094,49.63,30-04-2014
CUST0000034895,IN00002546,16.75,08-11-2013
CUST0000005081,IN00091250,783.76,04-05-2014
CUST0000006058,IN00079593,454.93,17-09-2013
CUST0000032565,IN00035533,284.63,14-07-2019
CUST0000021745,IN00025502,56.68,23-12-2011
CUST0000011492,IN00088215,675.32,17-01-2020
CUST0000075500,IN00009254,827.02,06-08-2021
