INVOICE_CODE,ITEM_CODE,AMOUNT,QUANTITY
IN00056862,ADPSK,306.88,599
IN00085974,QCGIH,354.02,259
IN00041330,XQUZX,74.74,586
IN00016569,ZPJST,577.41,135
IN00085035,UQJWI,140.47,179
IN00049677,EZKDK,502.02,442
IN00091976,JAHAR,314.6,736
IN00000591,GPFZY,46.25,753
IN00089882,XFBMR,943.72,387
IN00088712,JCSAE,580.39,346
IN00035465,KTBIW,827.09,360
IN00047609,FPZMF,920.92,378
IN00041450,GMOWS,577.66,810
IN00077881,QFKIA,54.09,615
IN00054575,TNFPB,810.7,645
IN00079617,FHOQX,556.45,346
IN00060671,DMLXB,170.29,710
IN00048389,ONJMI,334.48,171
IN00091013,LAXJD,983.54,316
IN00050356,DYASZ,812.55,7
IN00035436,TUTID,148.71,655
IN00037734,ZMONF,252.55,284
IN00020589,BPAKQ,361.72,140
IN00061614,FSRKX,326.5,109
IN00033453,TIOGI,999.79,834
IN00089093,WUHBZ,605.4,379
IN00031142,GKWYW,846.67,636
IN00003129,ZWSYP,516.58,920
IN00017620,UPDXQ,491.73,870
IN00078836,CRRNE,454.04,321
IN00084919,KKXEF,591.46,944
IN00039144,KBLSB,144.35,880
IN00034492,OKLWR,523.63,800
IN00096678,SLZMR,914.99,580
IN00073751,IZVST,672.23,33
IN00045188,UFHCW,710.44,186
IN00083962,DQTLC,76.55,907
IN00072723,WRQYN,914.33,523
IN00005727,FGOLZ,524.84,235
IN00018838,VZNYV,697.59,658
IN00004425,JDYHV,653.47,644
IN00074455,WDTEZ,386.94,229
IN00061385,FSJVZ,168.44,190
IN00072144,AINBL,38.15,659
IN00072942,UQEAT,628.71,429
IN00077883,UAVMI,980.98,882
IN00054080,REOGU,632.26,875
IN00002906,NLFZE,794.36,922
IN00021685,TMFTC,111.84,811
IN00054518,FGQYE,208.7,750
IN00003158,TLDPO,944.36,448
IN00029363,XYHVS,396.12,782
IN00049050,YVZJV,816.97,764
IN00081098,FYOBM,387.45,372
IN00019687,ZVCUM,126.02,619
IN00002635,NFNFC,175.25,792
IN00054050,EKFST,278.16,62
IN00087555,IUMVM,548.17,831
IN00099192,RRNMN,779.59,256
IN00045899,XMSTX,621.66,745
IN00024205,RZFXZ,21.01,570
IN00008530,FNUXU,567.73,486
IN00090929,YMDVY,942.45,126
IN00029255,QCFLM,70.51,537
IN00031940,RVUDJ,528.72,813
IN00093351,DECID,232.66,217
IN00029504,RTRTC,70.42,628
IN00081029,CGKUL,601.47,349
IN00030005,KMDAZ,876,964
IN00028453,EWEMG,71.2,915
IN00067401,YPCBA,375.27,286
IN00008976,BAEDS,774.64,912
IN00089444,KSHEO,805.73,636
IN00082334,CMWAH,760.83,217
IN00088184,WHNCK,121.32,792
IN00057944,AVALU,947.36,306
IN00075926,OGWVF,407.46,899
IN00039963,CCNTI,503.39,75
IN00089671,AERSD,794,420
IN00051310,BMXGS,903.32,327
IN00036867,ZBAXA,427.36,933
IN00037223,RDGPD,715.44,834
IN00083909,CLQBT,984.9,269
IN00008992,VUCGO,359.36,489
IN00069151,KCRNA,647.27,70
IN00002200,UEQYX,788.8,377
IN00020604,KAGHB,431.84,224
IN00048207,JYVCD,684.29,390
IN00065658,AYEPW,862.72,215
IN00041827,YFHGL,369.87,270
IN00042596,CAPXU,842.36,681
IN00074345,VKXRE,421.63,414
IN00022744,FZORQ,269.21,116
IN00014132,HCYTK,470.4,18
IN00019389,YJIHG,198.54,860
IN00069678,VBXQS,362.06,789
IN00032548,LRAAC,137.98,392
IN00086444,SXOWQ,830.91,948
IN00035813,KKZZV,384.42,130
IN00061675,DONXN,838.37,719
IN00008805,QHVDX,305.03,970
IN00031420,EMIHO,136.07,746
IN00056958,GUOZW,140.19,676
IN00010151,SGUCK,290.57,173
IN00009477,UFAEP,375.46,56
IN00058244,QTTPC,113.77,392
IN00006146,IMEYD,217.25,8
IN00029430,XFRRA,863.2,162
IN00078066,LVPNA,383.53,738
IN00014783,SPTQB,308.8,368
IN00048483,OEKXI,104.89,156
IN00034497,RRKLZ,791.22,517
IN00099402,OVHDS,784.63,135
IN00083837,OPJLV,641.04,236
IN00085584,QZUSS,380.77,38
IN00047017,IBFBH,800.97,212
IN00048174,QQAMP,410.09,228
IN00002423,KMETV,891.34,883
IN00055207,FNZYR,540.58,442
IN00062256,MLBSA,590.8,721
IN00074101,YTRNF,188.25,952
IN00063254,VZDRF,367.48,874
IN00047127,CLRBF,488.6,264
IN00016999,ZKOTQ,609.63,717
IN00033754,ZTIVZ,847.83,790
IN00096842,HVAIO,972.23,815
IN00094951,NOWCT,571.45,262
IN00077755,MNPSV,920.41,577
IN00025844,KRCVP,28.78,603
IN00086005,PXKRC,194.21,876
IN00052102,CJLCZ,606.53,60
IN00004347,FRKDC,273.19,385
IN00058049,NSPHH,901.59,615
IN00017319,NUOCZ,695.98,349
IN00051439,CMMNA,409.57,648
IN00050823,VLFVZ,389.05,179
IN00013769,ISATO,494.79,128
IN00086985,ZNAPT,461.36,112
IN00082776,SSNHL,603.21,547
IN00053102,DWTHI,35.2,755
IN00006450,ISHCL,641.16,487
IN00009334,PXTHS,548.79,201
IN00072338,LEGQD,420.58,954
IN00045530,IBVQH,474.08,627
IN00006992,MEOBT,823.48,842
IN00071316,FIJHZ,449.41,541
IN00029740,LHWPX,335.51,835
IN00043039,QBAXU,568.24,849
IN00041498,WVNIN,30.97,83
IN00060489,KAGVR,813.23,608
IN00014297,YMYEO,978.5,267
IN00046346,YNMUY,809.12,722
IN00033774,WWPOA,266.4,254
IN00016611,AFQJF,904.93,631
IN00051411,FTHZH,185.63,920
IN00075857,KTYAP,954.71,120
IN00097408,XIMQF,611.33,750
IN00012239,UGGSW,37.73,630
IN00073043,JAZKF,61.26,260
IN00053042,PHANE,115.95,569
IN00011512,WZYMX,615.65,214
IN00059824,YBJMI,988.35,990
IN00087427,JJGSI,144.9,528
IN00037906,VIIJL,697.46,292
IN00042936,QQCDP,457.21,601
IN00075503,LHBTJ,998.32,178
IN00052922,OGYAO,193.14,671
IN00017826,JFSPJ,735.43,650
IN00090548,SFCMU,738.91,323
IN00062462,SAENG,535.19,288
IN00048684,JYKXY,839.67,864
IN00028434,LRZZO,20.51,788
IN00023000,ZLQSF,497.35,698
IN00029359,EPIQI,188.3,897
IN00020379,LMUOJ,757.3,547
IN00046611,MVSEN,873.77,971
IN00050998,TDPQU,803.11,967
IN00042016,ABNKE,643.99,46
IN00066766,UUVER,477.79,915
IN00041780,XNHCI,251.36,476
IN00013610,RJIJR,395.8,596
IN00084659,RZFUB,174.42,578
IN00045336,JSEDS,892.16,390
IN00085922,UZDWW,234.01,896
IN00042596,GKMYG,629.66,555
IN00061773,KMHUZ,970.65,52
IN00005228,HDRUA,957.58,542
IN00065139,AXOKU,387.74,452
IN00093328,BWBEM,839.49,271
IN00055204,KNNWC,751.28,906
IN00031162,CJMPR,565.79,303
IN00076344,NTZVC,467.05,270
IN00022422,XAYII,411.56,711
IN00060765,BSSZN,553.43,15
IN00010343,BLLPD,242.22,632
IN00013973,IJJWD,160.58,656
IN00079214,GAQFD,510.81,16
IN00073136,JLJIB,718.47,800
IN00097323,EKYNO,518.21,467
IN00023514,RUBRD,46.76,146
IN00024012,ZCLZU,298.01,360
IN00018009,BJGVM,897.45,858
IN00001586,EHWGA,478.12,392
IN00032133,YVYHT,426.43,732
IN00021294,MKFMX,917.44,391
IN00073091,QRJMT,841.08,968
IN00083438,FFGAA,405.06,454
IN00073062,PZAHY,297.65,303
IN00076250,PZVQW,873.44,997
IN00007643,PATBE,785.41,289
IN00046957,NCOVX,23.31,727
IN00086262,FYSXI,938.12,591
IN00000146,CGIRM,65.94,579
IN00001745,XURRP,609.38,509
IN00070194,OGBUN,23.63,411
IN00064661,UFQGR,102.31,512
IN00006022,GIFVB,696.44,900
IN00041707,WOMLY,216.52,331
IN00092126,OVZHG,750.09,736
IN00044507,EQZLM,885.6,46
IN00042183,ZICWX,864.14,968
IN00070831,BIZON,386.48,51
IN00075897,FBNMM,890.24,148
IN00001315,AHILB,197.26,82
IN00040200,TZEDM,209.6,599
IN00040972,VKHOG,714.16,55
IN00039864,ZFTHQ,950.35,957
IN00026508,QPWSH,894.8,485
IN00024746,SHHPV,771.28,235
IN00015397,ANFWW,607.61,962
IN00058074,QSEYL,3.42,146
IN00016473,SMHRR,887.99,680
IN00047267,FJIGW,163.59,105
IN00076279,EBWDI,93.83,179
IN00044796,TBHTY,221.19,605
IN00093683,YYRMB,60.77,744
IN00044529,HUTXD,566.67,62
IN00060039,ESBQX,98.48,608
IN00013560,MBAVO,240.35,9
IN00034186,QETSF,521.52,180
IN00005689,UMDDM,372.72,690
IN00028972,XIBCG,597.53,545
IN00022660,FDRHR,302.53,868
IN00094328,CEOKK,273.58,168
IN00086131,VWLSB,502.32,240
IN00034624,TMRDF,853.44,94
IN00026466,CQJVB,329.44,857
IN00057514,TAQTZ,853.24,814
IN00037286,OFVKY,667.47,708
IN00011755,FDLDQ,680.34,306
IN00079985,JSYVH,843.5,775
IN00051574,GQUUR,900.63,314
IN00052992,CKJEJ,448.42,191
IN00034594,FJBHH,769.94,188
IN00025525,ZRKHC,224.23,605
IN00073210,ZQULN,725.16,823
IN00086190,YXPPC,286.16,858
IN00008591,SQTBM,497.32,988
IN00029453,MJEGK,870.73,475
IN00082748,NWYSG,285.34,902
IN00027817,JFLEO,604.83,144
IN00013823,LKWLL,679.58,182
IN00006304,KZLVW,427.46,812
IN00083287,KTUBD,818.53,894
IN00078402,IQQWX,899.68,840
IN00010588,DAGCT,867.63,51
IN00051816,BSTSD,25.32,832
IN00099248,ZJXSW,402.85,769
IN00027519,EGFVR,783.87,288
IN00090257,CEYOJ,432.7,82
IN00020145,AEWSP,673.27,687
IN00090379,PNZEH,324.75,326
IN00037342,VQZCD,570.21,211
IN00096644,TXDQA,398.69,371
IN00079600,UNUUP,52.09,657
IN00066280,XHYOD,207.08,158
IN00016616,XESBI,423.14,706
IN00071218,CAVFZ,773.12,237
IN00057188,DWNYF,178.17,600
IN00054274,POROA,603.64,227
IN00091798,CVFFB,435.29,906
IN00034032,QLGVS,910.51,554
IN00041813,MVOWQ,967.63,727
IN00059004,OJNSM,130.39,846
IN00098777,TPXDU,691.91,684
IN00040428,AQFIF,171.59,25
IN00060633,KPVPS,797.53,89
IN00083628,PYPMB,293.21,339
IN00015721,RVKDD,47.2,359
IN00077076,JQMBG,914.67,28
IN00063558,TBJXP,840.12,426
IN00016080,EEWME,158.42,676
IN00090227,VLEHY,437.51,234
IN00042192,HSKJX,768.94,168
IN00081554,CNYNR,628.48,352
IN00056546,BRJZJ,288.88,244
IN00074288,FCUBO,107.61,90
IN00077688,TKKYC,299.48,581
IN00067822,VMAIR,620.42,831
IN00003918,GDMMO,26.94,942
IN00030752,RKQEA,853.38,760
IN00058621,PTNFS,375.98,489
IN00071034,ZJPIQ,950.38,410
IN00059130,FMRTN,580.33,137
IN00021339,QTWBG,758.26,207
IN00081736,LUEAD,530.71,854
IN00054773,EFUHY,686.51,239
IN00074410,XIKNC,952.38,322
IN00011131,FNOGW,262.01,252
IN00019888,RHWAH,701.28,419
IN00026691,KZZPO,896.33,795
IN00094694,RCJKH,526.9,351
IN00071811,SBYAD,92.81,170
IN00018303,JPGYW,106.81,312
IN00093236,FESTA,582.96,360
IN00070233,FBZAO,945.69,408
IN00028284,YYDGN,883.94,992
IN00023087,THOSQ,54.56,148
IN00074529,NWUVW,200.29,474
IN00092949,NHFTL,674.64,231
IN00048028,ZGDIW,750.76,727
IN00045891,LMIST,896.58,162
IN00024804,RDPSM,389.04,731
IN00030728,HLBJB,105.8,748
IN00011792,ABWQV,977.52,71
IN00019121,FYYHC,203.03,733
IN00023841,YMXXR,614.43,1000
IN00038556,PMRLX,466.32,792
IN00015614,LYLKK,484.85,60
IN00080191,XUHOK,497.56,950
IN00045568,PCREX,517.18,10
IN00048215,CJRWH,250.78,263
IN00041308,ZAAIS,135.97,989
IN00024779,SANLT,566.17,715
IN00048368,CPOJU,638.2,576
IN00030001,AYBZV,50.71,812
IN00005938,PGJIW,724.82,624
IN00034471,HAARR,57.08,893
IN00028511,TWNLH,810.37,484
IN00087022,XHBTR,880.29,444
IN00069795,OXDQQ,319.57,563
IN00070503,QBPFM,408.04,750
IN00025377,PVJBQ,277.92,238
IN00000345,HDTJD,979.18,536
IN00018692,QXXCG,814.94,171
IN00091471,VAQHS,540.23,66
IN00076639,CUUQR,594.93,860
IN00079512,VZJDS,221.34,798
IN00054474,JHUVG,148.7,332
IN00019587,VYMOO,869.65,613
IN00035569,QUGBP,297.57,754
IN00086743,KWRPZ,415.82,973
IN00083610,DGZQN,822.57,222
IN00084785,LARBV,284.36,106
IN00037017,FAJFC,165.6,220
IN00019845,EEPPP,10.36,846
IN00076307,STHPR,829.05,866
IN00025487,ZOETB,841.28,290
IN00072425,ZCFXY,575.63,795
IN00056488,OTMDM,364.1,659
IN00010538,LLDTN,553.27,246
IN00087375,PNSZQ,673.7,66
IN00097117,QOMAK,228.49,348
IN00053381,OFCTH,958.71,710
IN00081863,IKWJF,723.06,435
IN00016405,EGKOI,591.22,317
IN00057179,XOKIZ,570.08,844
IN00090769,IBBIL,27.06,629
IN00080169,XDUXF,955.32,771
IN00077604,AEDHU,416.22,979
IN00000469,LYXIY,482.37,420
IN00031776,HMIWK,864.85,278
IN00040997,HUCZZ,925.87,621
IN00073848,TPGFH,596.24,780
IN00027135,GQFRP,918.26,443
IN00088917,UQMGW,5.8,259
IN00037178,ACRHC,99.11,376
IN00082782,ZKHJV,25.25,469
IN00022659,XMEUC,617.17,644
IN00072463,TJJMI,195.94,839
IN00081148,ZEOPA,30.9,238
IN00040850,WUGFL,621.66,861
IN00064792,XOWZU,145.38,544
IN00072722,LEYTW,572.16,209
IN00047815,EPXPJ,174.01,846
IN00098200,SGCTB,693.69,500
IN00004976,AIZFV,353.15,831
IN00004412,GGCZD,807.35,916
IN00077420,YHBAA,578.26,778
IN00012008,YGXLR,625.31,859
IN00074581,YPOUP,199.67,323
IN00020136,IFBOE,105.24,105
IN00031673,NQGLU,768.88,507
IN00066298,HWNVQ,84.62,551
IN00021052,JGAAW,244.53,534
IN00015299,PGEPO,596.65,955
IN00018968,JBEME,962.71,549
IN00036872,GSCLP,374.07,469
IN00092431,AIICV,951.7,862
IN00066849,OAMPJ,567.7,692
IN00071968,UUVUI,708.78,864
IN00041266,LIDMT,972.67,71
IN00054357,MYHKY,32.7,263
IN00075252,XQKBA,312.98,327
IN00095561,CSTLL,116.33,141
IN00053057,IGGAV,88.06,425
IN00095107,BHCCD,247.8,69
IN00080200,OGEBC,990.37,359
IN00058127,ADITH,9.83,773
IN00043311,TIUNA,142.07,258
IN00035934,IMJPV,393.42,490
IN00012990,RUMON,514.04,374
IN00007454,HPDGD,581.67,709
IN00031619,MQRZW,808.01,970
IN00032328,FDNQA,707.59,720
IN00084313,FGGIL,562.33,377
IN00068003,GSBTZ,229.12,675
IN00007001,AKIIK,487.77,866
IN00021561,JBENO,462.49,361
IN00098354,ITMVF,490.45,584
IN00063293,PVOZA,498.42,861
IN00025809,JPCHH,308.41,353
IN00081968,QEAWR,984.36,546
IN00058165,UKMYB,532.66,301
IN00089457,CSTPU,862.9,493
IN00017866,ATWQM,922.3,732
IN00066918,EGIVB,349.63,854
IN00055636,MOIET,973.21,67
IN00040731,NLJVO,294.54,900
IN00033545,EGNAP,327.47,26
IN00038189,OAUAT,159.91,183
IN00062459,KTMVI,501.1,250
IN00048231,COUBK,297.3,612
IN00000015,XLFCX,759.36,773
IN00096971,PLSEY,785.09,897
IN00002943,JFNMT,398.23,241
IN00043783,TGIBP,304.68,248
IN00018409,UZLZG,277.87,134
IN00003480,KMSUB,626.57,743
IN00032317,JNZGV,87.86,279
IN00014618,AIXDX,829.31,877
IN00016129,TWMLQ,892.77,384
IN00006227,CNUST,362.63,864
IN00015593,XGRSU,492.1,667
IN00069051,ZAQEC,942.85,873
IN00034224,FCXBF,250.69,200
IN00039896,SWXCD,38.86,268
IN00063572,YNXKN,122.21,901
IN00085941,AIAPU,984.4,797
IN00015259,WYSLJ,820.12,691
IN00065718,BSORW,174.38,769
IN00093748,ISIWJ,893.62,245
IN00070859,MHQXV,752.54,580
IN00018922,GSUJY,203.33,987
IN00092882,LVJDK,19.89,927
IN00062446,EKITD,780.63,530
IN00093150,FPGLX,373.97,16
IN00015674,EBKBU,242.98,682
IN00082177,NMPFA,594.84,446
IN00096047,OMKZQ,343.64,919
IN00055030,NCMED,164.37,370
IN00043351,LDPOS,462.86,843
IN00074106,LMRRN,897.92,438
IN00002337,GBCMR,326.99,688
IN00011018,IEHXV,953.07,495
IN00042549,PUADU,640.66,123
IN00052638,QZHYQ,854.8,758
IN00030885,AATMW,752,317
IN00060878,AKSKY,289.14,549
IN00077563,ZHVPB,659.27,183
IN00000395,ZWOHC,783.75,203
IN00036830,ATUNL,437.59,816
IN00072414,RVUXC,855.8,23
IN00052302,UDQZH,813.08,996
IN00078922,FSCDF,487.23,279
IN00061055,QSKOS,787.27,674
IN00098333,ITXLD,50.78,10
IN00056045,VYQLH,755.31,61
IN00071972,WMOCP,291.95,429
IN00018113,UFAJD,729.98,591
IN00017883,FWXQH,552.08,750
IN00011607,MEPGJ,360.16,21
IN00083350,MAXWJ,936.05,545
IN00030807,PLVHI,302.5,751
IN00013626,EVVKT,777.69,24
IN00058127,XGLOE,921.39,894
IN00003645,XTICX,258.08,348
IN00018068,WVTMS,757.29,459
IN00042660,PXARC,512.58,140
IN00064677,TCKJS,390.92,215
IN00088491,VJJTI,869.54,796
IN00031428,RTHZR,735.85,479
IN00003144,AXEEX,219.47,33
IN00070630,ESZQT,899.61,248
IN00007878,BKIJA,722.26,914
IN00072251,GRDHI,65.97,286
IN00096511,MHOUY,692.22,565
IN00067066,EJEWC,264.57,494
IN00073225,HSIJD,89.27,389
IN00097429,OZPCY,328.88,567
IN00035589,LAFOJ,59.63,884
IN00026705,AKYNE,847.38,78
IN00074530,ZGGZT,324.94,111
IN00013123,SHCWA,875.68,338
IN00069248,FADBE,41.67,938
IN00055700,UBCUS,69.82,181
IN00036942,KGQHL,651.26,708
IN00019473,QFQRC,522.34,962
IN00002076,EPGOE,798.26,924
IN00016632,ZVBPD,170.84,954
IN00053604,PWZQO,888.98,867
IN00025057,XPJBM,381.04,271
IN00034480,MUEUY,775.61,553
IN00027952,ZMGUC,943.39,129
IN00001459,RDJEX,130.65,571
IN00011436,QYZAF,568.01,536
IN00008923,ZWARK,966.09,363
IN00063649,JOLTO,930.68,158
IN00031642,AMCWY,884.01,299
IN00016789,BIGNS,334.12,84
IN00087140,QGMSH,692.28,102
IN00039705,OLRJO,431.61,751
IN00019217,MEBYG,797.64,409
IN00007061,CAPTN,801.17,1
IN00029823,GRCPL,359.59,555
IN00086870,XUTDK,877.71,51
IN00098622,XPGFZ,20.83,771
IN00070570,ULKGJ,950.69,882
IN00090576,VUJVO,320.82,546
IN00094386,JFKET,224.06,922
IN00024129,ELSOV,41.16,88
IN00027968,DOJPC,811.35,252
IN00003779,UEAJK,762.34,975
IN00091831,HMWYC,213.91,722
IN00028513,UBLFT,270.74,312
IN00067182,LDBEL,768.23,528
IN00057121,AWYIS,901.15,12
IN00071181,ARSFK,868.36,282
IN00079711,XCDUR,791.3,300
IN00063223,KDXVE,791.62,274
IN00021779,BTQFE,379.7,447
IN00025502,JKVEV,823.81,836
IN00058933,ZNKGR,26.61,77
IN00013598,UJDDL,328.2,762
IN00002723,OQBTV,588.3,591
IN00050131,MJPQH,369.56,837
IN00044541,ROBFJ,48.26,159
IN00060832,XLLUY,723.54,232
IN00068562,BTYXE,562.3,614
IN00061945,AJCWS,92.57,58
IN00044000,MOYIL,294.3,349
IN00047011,XWXCF,834.44,8
IN00034620,RHJYO,273.24,24
IN00038167,XFWWA,228.18,225
IN00080777,QRVUS,274.17,642
IN00012437,QPYUE,726.56,931
IN00098795,QNRHJ,314.93,779
IN00015874,GRBWD,761.53,860
IN00067866,GKRNR,60.22,732
IN00056266,BBCVS,669.64,834
IN00059915,WCEBE,327.73,366
IN00035846,JVWJT,148.18,169
IN00005685,RHZER,741.39,800
IN00011988,XGRDG,547.67,229
IN00039701,ZLNEW,110.12,11
IN00000422,LLWGZ,542.65,273
IN00013552,MCDIA,637.55,46
IN00055142,FOSEE,289.46,199
IN00068914,CTURU,156.34,707
IN00033152,RAHWE,928.93,926
IN00000129,SVSNV,801.07,456
IN00008708,FSKLJ,579.12,775
IN00047306,JBXXJ,71.29,78
IN00033410,RFHZU,941.38,526
IN00086237,QBSPC,457.35,291
IN00024417,JKKXQ,921.98,30
IN00089345,KLFYL,560.2,23
IN00071571,MNZZZ,74.32,748
IN00022065,WDFIY,797.19,895
IN00053978,HROMQ,759.5,905
IN00041957,KLUYM,949.64,448
IN00038838,CZVUD,534.2,455
IN00040190,AIGSG,975.81,372
IN00018326,UQAXF,703.57,550
IN00099927,BYENV,607.46,623
IN00053470,CZULK,506.05,900
IN00049768,CULLH,872.69,323
IN00008012,RPRPR,113.82,258
IN00036360,DUOZV,310.86,917
IN00035304,XKANX,704.92,536
IN00026165,KEAFU,121.83,68
IN00081830,IFYVU,653.15,331
IN00070682,ZBZOT,687.95,284
IN00087997,RJEBC,382.14,394
IN00077439,FJZVO,333.53,97
IN00098853,HRHMR,94.89,120
IN00072616,OICAF,637.98,364
IN00049988,VQRRC,207.94,236
IN00024326,XPNMK,162.12,42
IN00022357,GARQK,8.08,697
IN00073406,IVLXS,91.75,628
IN00093869,PWYWQ,467.82,455
IN00091031,XVWMU,598.23,928
IN00014487,AKCCF,373.89,144
IN00031689,BRRJG,566.31,575
IN00018346,WCUZV,112.23,886
IN00010828,LTAGW,859.94,825
IN00006285,XIVUE,623.6,827
IN00064876,ITDWK,324.27,920
IN00021158,ZVLQY,29.12,378
IN00073197,NQMBO,78.65,923
IN00056677,OFIUN,351.9,105
IN00024157,BAUOH,837.87,439
IN00036306,JFUGE,512.89,868
IN00062150,WMILB,857.61,11
IN00045435,RFMMX,190.24,526
IN00028342,OLZIK,525.92,602
IN00094204,XXZSZ,26.01,916
IN00015095,WFSHM,153.53,375
IN00062190,LNTZJ,472.59,95
IN00072208,GWTCD,609.86,60
IN00016364,VQLZS,701.89,533
IN00045025,TAFKV,563.26,942
IN00041566,VEETN,839.16,9
IN00018022,ADBDN,952.37,924
IN00076292,ENAGM,467.83,990
IN00063488,VZCDM,434.98,591
IN00043312,VFHOY,750.13,62
IN00028126,SICWX,514.92,287
IN00048483,TLWWP,347.93,148
IN00033681,FOECF,350.46,475
IN00020780,AZYWS,467.38,962
IN00089757,AQBFL,268.81,867
IN00006276,UEOZU,268.49,790
IN00046657,GGNOF,669.12,366
IN00047495,SIZKJ,88.08,573
IN00087248,SUHJC,987,75
IN00041149,ZRJFU,554.41,581
IN00061067,HYHXK,445.49,29
IN00086802,AQTJN,953.78,878
IN00018562,MOBCY,639.98,297
IN00089329,GLNRE,110.6,697
IN00084401,UDDVU,857.74,671
IN00009323,ZXXPM,54.91,762
IN00053086,XWKGH,400.66,54
IN00005691,DMKKQ,579.22,169
IN00049191,PDDYT,994.42,373
IN00098503,BMJEA,84.26,280
IN00012729,EMVBV,902.03,422
IN00039027,GKZXV,107.72,662
IN00019741,SRYCU,203.19,952
IN00048160,NYEEE,402.2,570
IN00014390,IUUSI,174.29,223
IN00031240,ITGDC,415.11,448
IN00009878,STOZQ,969.91,875
IN00039412,EEEZI,86.61,214
IN00089955,LCBRR,703.06,515
IN00042119,UMRXU,879.5,827
IN00051465,MRTSV,890.93,730
IN00092759,ZEKFA,231.85,735
IN00003180,HIQBW,579.46,8
IN00075636,LFQRG,359.94,982
IN00039543,MRYBN,842.41,498
IN00048363,NXWQF,74.02,368
IN00028684,ATJCU,596.32,377
IN00076316,SLYRO,481.35,217
IN00071091,IWHMJ,788.21,889
IN00073109,YGDKC,276.79,127
IN00040461,GWJYE,191.55,869
IN00003647,GZFDD,950.67,790
IN00053644,ERXOF,727.65,771
IN00055849,ZAJIX,628.33,80
IN00092678,GMKCX,204.72,633
IN00087084,YZLNH,505.31,232
IN00043309,MIOUV,732.55,579
IN00001089,MUYUS,390.86,383
IN00024046,FYJTE,708.11,736
IN00034429,APAYM,513.96,79
IN00026308,DFYSK,501.83,735
IN00097886,ZPNEQ,934.72,773
IN00033942,BCFJH,62.14,210
IN00002106,XFODU,868.1,639
IN00046360,WBZIM,610.48,765
IN00070957,VVSQF,153.15,959
IN00055984,EENTK,36.73,854
IN00038950,DQFBN,66.8,826
IN00068649,CCSNF,615.05,187
IN00054810,KCBPU,367.62,962
IN00052505,EKCFN,616.38,525
IN00078363,FIQUK,356.36,692
IN00063255,UUZLN,542.12,81
IN00064268,QBMGE,43.02,104
IN00073265,GARMF,365.32,636
IN00091300,PKGIM,40.67,524
IN00039760,COPSE,614.35,602
IN00070028,EHQRR,415.25,631
IN00006845,LRCBY,474.64,198
